Disease,Diet
Fungal infection,"Balanced diet with probiotics; avoid sugar"
Allergy,"Avoid known allergens; anti-inflammatory foods"
GERD,"Low-fat, low-acid diet; avoid spicy food and caffeine"
Chronic cholestasis,"Low-fat diet; avoid alcohol"
Drug Reaction,"Bland diet; plenty of fluids"
Peptic ulcer disease,"Avoid spicy and acidic food; small frequent meals"
AIDS,"High-protein, high-calorie balanced diet"
Diabetes,"Low-sugar, high-fiber, controlled carbohydrate diet"
Gastroenteritis,"BRAT diet (Banana, Rice, Applesauce, Toast); hydration"
Bronchial Asthma,"Anti-inflammatory diet; avoid known food triggers"
Hypertension,"Low-sodium DASH diet"
Migraine,"Avoid caffeine, alcohol, processed foods; stay hydrated"
Cervical spondylosis,"Anti-inflammatory diet rich in omega-3"
Paralysis (brain hemorrhage),"Low-sodium, low-cholesterol diet as advised by doctor"
Jaundice,"Low-fat diet; plenty of fluids and fruits"
Malaria,"High-calorie, easily digestible diet; hydration"
Chicken pox,"Soft, bland diet; plenty of fluids"
Dengue,"Fluids, papaya leaf extract, soft food; avoid oily food"
Typhoid,"Soft, high-calorie, easily digestible diet"
hepatitis A,"Low-fat diet; avoid alcohol"
Hepatitis B,"Balanced diet; avoid alcohol and fatty foods"
Hepatitis C,"Balanced diet; avoid alcohol"
Hepatitis D,"Low-fat diet; avoid alcohol"
Hepatitis E,"Low-fat diet; plenty of fluids"
Alcoholic hepatitis,"High-protein diet; complete alcohol abstinence"
Tuberculosis,"High-protein, high-calorie, nutrient-rich diet"
Common Cold,"Warm fluids, vitamin C rich foods"
Pneumonia,"High-protein, high-calorie diet; plenty of fluids"
Dimorphic hemmorhoids(piles),"High-fiber diet; plenty of water"
Heart attack,"Low-sodium, low-cholesterol, heart-healthy diet"
Varicose veins,"High-fiber diet; reduce salt intake"
Hypothyroidism,"Iodine-rich foods; avoid excess soy and raw cruciferous vegetables"
Hyperthyroidism,"Low-iodine diet as advised by doctor"
Hypoglycemia,"Frequent small meals; balanced carbohydrates"
Osteoarthritis,"Anti-inflammatory diet rich in omega-3"
Arthritis,"Anti-inflammatory diet; omega-3 rich foods"
(vertigo) Paroxysmal Positional Vertigo,"Low-salt diet; stay hydrated"
Acne,"Low-glycemic diet; avoid excess dairy and sugar"
Urinary tract infection,"Plenty of water; cranberry juice"
Psoriasis,"Anti-inflammatory diet; omega-3 rich foods"
Impetigo,"Balanced diet supporting immune health"